,0
0,77
1,77
2,72
3,73
4,73
5,71
6,71
7,66
8,71
9,73
10,81
11,73
12,75
13,80
14,85
15,80
16,75
17,70
18,68
19,70
20,72
21,82
22,77
23,73
24,74
25,73
26,77
27,78
28,75
29,75
30,75
31,78
32,81
33,77
34,75
35,76
36,76
37,80
38,78
39,79
40,75
41,80
42,77
43,82
44,75
45,74
46,75
47,76
48,75
49,75
50,78
51,78
52,77
53,79
54,80
55,78
56,83
57,85
58,80
59,75
60,78
61,75
62,75
63,80
64,80
65,79
66,82
67,83
68,83
69,84
70,82
71,84
72,84
73,84
74,83
75,81
76,83
77,80
78,79
79,78
80,77
81,76
82,75
83,74
84,73
85,72
86,77
87,71
88,70
89,69
90,68
91,72
92,73
93,75
94,80
95,78
96,83
97,81
98,83
99,79
100,82
101,80
102,84
103,83
104,84
105,85
106,86
107,82
108,76
109,85
110,82
111,84
112,84
113,86
114,85
115,84
116,87
117,85
118,88
119,89
120,75
121,88
122,83
123,82
124,80
125,82
126,87
127,89
128,88
129,88
130,89
131,76
132,89
133,90
134,92
135,90
136,88
137,89
138,88
139,89
140,86
141,88
142,79
143,86
144,87
145,87
146,85
147,83
148,80
149,82
150,82
151,81
152,83
153,81
154,84
155,85
156,80
157,83
158,79
159,88
160,78
161,90
162,81
163,85
164,79
165,90
166,79
167,95
168,0
169,81
170,80
171,80
172,95
173,78
174,97
175,2
176,83
177,78
178,97
179,81
180,92
181,79
182,97
183,78
184,92
185,78
186,87
187,78
188,87
189,82
190,92
191,75
192,81
193,97
194,1
195,78
196,5
197,75
198,0
199,80
200,78
201,95
202,74
203,90
204,79
205,95
206,0
207,81
208,5
209,77
210,77
211,70
212,81
213,77
214,78
215,78
216,79
217,78
218,77
219,76
220,78
221,77
222,70
223,76
224,75
225,74
226,70
227,71
228,71
229,71
230,74
231,76
232,79
233,68
234,78
235,78
236,75
237,75
238,78
239,81
240,76
241,81
242,82
243,77
244,68
245,81
246,76
247,81
248,78
249,77
250,80
251,79
252,83
253,79
254,82
255,79
256,71
257,80
258,85
259,86
260,87
261,82
262,87
263,82
264,86
265,86
266,81
267,69
268,76
269,81
270,84
271,79
272,76
273,79
274,80
275,79
276,78
277,80
278,69
279,83
280,83
281,85
282,87
283,84
284,84
285,82
286,84
287,83
288,83
289,69
290,84
291,80
292,81
293,79
294,84
295,85
296,85
297,86
298,87
299,90
300,70
301,85
302,81
303,82
304,82
305,83
306,80
307,84
308,82
309,82
310,67
311,83
312,83
313,83
314,82
315,83
316,81
317,82
318,84
319,80
320,79
321,65
322,76
323,74
324,71
325,70
326,69
327,68
328,68
329,71
330,71
331,70
332,67
333,74
334,73
335,76
336,75
337,75
338,75
339,70
340,69
341,69
342,66
343,70
344,65
345,64
346,63
347,63
348,63
349,63
350,66
351,69
352,68
353,68
354,72
355,81
356,69
357,69
358,72
359,73
360,76
361,74
362,74
363,74
364,75
365,76
366,74
367,76
368,79
369,80
370,76
371,79
372,80
373,78
374,79
375,81
376,79
377,78
378,77
379,76
380,76
381,80
382,83
383,81
384,76
385,76
386,73
387,78
388,80
389,78
390,77
391,76
392,79
393,83
394,85
395,86
396,85
397,85
398,85
399,80
400,82
401,80
402,80
403,76
404,71
405,72
406,74
407,75
408,75
409,73
410,84
411,85
412,84
413,83
414,86
415,88
416,86
417,91
418,90
419,91
420,85
421,91
422,91
423,93
424,95
425,96
426,96
427,94
428,92
429,92
430,90
431,87
432,89
433,88
434,87
435,86
436,85
437,84
438,83
439,82
440,81
441,80
442,85
443,79
444,78
445,78
446,76
447,77
448,75
449,72
450,75
451,70
452,69
453,88
454,70
455,72
456,72
457,67
458,72
459,74
460,77
461,76
462,76
463,78
464,85
465,82
466,76
467,76
468,75
469,76
470,79
471,80
472,79
473,76
474,78
475,76
476,82
477,75
478,75
479,72
480,74
481,79
482,74
483,69
484,70
485,67
486,70
487,80
488,69
489,67
490,69
491,70
492,75
493,71
494,70
495,74
496,73
497,72
498,78
499,70
500,75
501,80
502,75
503,74
504,75
505,71
506,69
507,70
508,70
509,80
510,71
511,71
512,73
513,77
514,75
515,80
516,75
517,78
518,75
519,78
520,75
521,77
522,77
523,80
524,80
525,82
526,78
527,83
528,86
529,74
530,76
531,77
532,78
533,82
534,87
535,86
536,87
537,86
538,86
539,90
540,91
541,90
542,90
543,89
544,79
545,89
546,87
547,83
548,79
549,76
550,75
551,74
552,73
553,72
554,71
555,80
556,70
557,71
558,73
559,72
560,77
561,72
562,68
563,70
564,70
565,73
566,82
567,75
568,79
569,83
570,86
571,85
572,86
573,84
574,85
575,81
576,76
577,82
